rank,user,user_href,elo,gxe,rating
176,dnp111,/users/dnp111,1629,87.2%,1865 ± 55
177,alx_ark,/users/alxark,1629,76.8%,1728 ± 51
178,yankiken,/users/yankiken,1629,88.9%,1900 ± 71
179,stefankremer,/users/stefankremer,1628,73.6%,1694 ± 41
180,YapKing,/users/yapking,1628,74.3%,1700 ± 34
181,Paraplegic,/users/paraplegic,1628,79.1%,1752 ± 42
182,skino397,/users/skino397,1627,76.6%,1723 ± 28
183,Terekusai,/users/terekusai,1627,79.0%,1751 ± 50
184,tyo,/users/tyo,1626,87.9%,1877 ± 52
185,we up dos,/users/weupdos,1626,80.1%,1765 ± 53
186,Almost Trainer,/users/almosttrainer,1626,75.8%,1716 ± 47
187,mattmandaman,/users/mattmandaman,1625,84.3%,1818 ± 48
188,K hamza,/users/khamza,1624,76.0%,1717 ± 26
189,nblais,/users/nblais,1624,77.2%,1731 ± 48
190,Gelibolu,/users/gelibolu,1624,83.6%,1810 ± 48
191,Jinx04,/users/jinx04,1624,80.1%,1765 ± 50
192,Gabriel_Karp,/users/gabrielkarp,1624,69.5%,1655 ± 34
193,GummyMonOwO,/users/gummymonowo,1623,81.9%,1788 ± 60
194,DancinDragons,/users/dancindragons,1623,77.1%,1729 ± 26
195,Mait27,/users/mait27,1622,71.5%,1674 ± 35
196,Shiritu,/users/shiritu,1621,87.0%,1862 ± 53
197,PandaOpticon,/users/pandaopticon,1621,82.6%,1796 ± 50
198,Dendendelen,/users/dendendelen,1621,65.2%,1619 ± 29
199,Andrew$1000000$,/users/andrew1000000,1620,72.2%,1681 ± 39
200,yourmum69430,/users/yourmum69430,1620,78.4%,1744 ± 47
201,klefkifan123,/users/klefkifan123,1620,81.7%,1784 ± 53
202,Neblina,/users/neblina,1619,83.5%,1809 ± 56
203,fangame10,/users/fangame10,1619,87.7%,1873 ± 52
204,yazidan,/users/yazidan,1618,72.3%,1681 ± 27
205,sleepyHiphos,/users/sleepyhiphos,1618,73.0%,1688 ± 41
206,Guy in Red,/users/guyinred,1618,69.4%,1655 ± 38
207,charmdi,/users/charmdi,1617,86.5%,1854 ± 58
208,Save Face As,/users/savefaceas,1617,81.6%,1783 ± 44
209,CarnifexCoronatum,/users/carnifexcoronatum,1617,67.4%,1637 ± 27
210,lvBreakfast,/users/lvbreakfast,1617,79.8%,1758 ± 27
211,FieryPanda69,/users/fierypanda69,1617,71.0%,1669 ± 37
212,yeohgialt,/users/yeohgialt,1616,72.3%,1682 ± 39
213,denisnikitenko,/users/denisnikitenko,1616,71.3%,1673 ± 45
214,RedNxyz,/users/rednxyz,1616,68.5%,1647 ± 26
215,Qqaaww,/users/qqaaww,1616,66.6%,1630 ± 25
216,j0hn3y_boy,/users/j0hn3yboy,1614,83.1%,1803 ± 60
217,htty_ps,/users/httyps,1614,77.2%,1732 ± 51
218,Catalyst05,/users/catalyst05,1613,70.4%,1664 ± 43
219,Meowscarada 34,/users/meowscarada34,1613,81.0%,1777 ± 58
220,alcachofa1490,/users/alcachofa1490,1613,76.7%,1725 ± 39
221,KayaTy,/users/kayaty,1612,73.4%,1693 ± 47
222,megagiga,/users/megagiga,1612,82.2%,1790 ± 48
223,Mirzza,/users/mirzza,1612,87.1%,1865 ± 66
224,Jace_Wins,/users/jacewins,1612,67.3%,1636 ± 26
225,Belowaverageluck,/users/belowaverageluck,1611,84.5%,1821 ± 42
226,PSNOfficial,/users/psnofficial,1611,75.1%,1710 ± 53
227,MmiirrzzaA,/users/mmiirrzzaa,1611,87.4%,1871 ± 62
228,Fighter irl,/users/fighterirl,1610,78.7%,1747 ± 40
229,WHOOOOOOOOOOOOOOO,/users/whooooooooooooooo,1610,72.1%,1679 ± 33
230,weaktweak,/users/weaktweak,1610,77.8%,1737 ± 39
231,Nanandes,/users/nanandes,1609,82.4%,1795 ± 64
232,MirzaMirzaMirza,/users/mirzamirzamirza,1608,87.9%,1878 ± 61
233,Mirzaa,/users/mirzaa,1607,87.0%,1862 ± 54
234,Childgrinder,/users/childgrinder,1606,74.3%,1701 ± 42
235,WHKW10086,/users/whkw10086,1606,75.4%,1712 ± 40
236,testteamxd19435,/users/testteamxd19435,1606,75.3%,1711 ± 42
